gene_id,D1_dNA,D2_dNA,D3_dNA,E1_dNA,E1_dPA,E2_dNA,E2_dPA,E3_dNA,E3_dPA,P1_dNA,P1_dP,P2_dNA,P2_dP,P3_dNA,P3_dP,T1_CD71A,T2_CD71A,T3_CD71A
ENSMUSG00000098104|Gm6085,6,12,11,11,12,12,6,14,16,10,6,10,6,4,12,11,18,19
ENSMUSG00000103922|Gm6123,17,22,15,47,27,22,42,23,41,22,20,41,12,18,9,27,21,21
ENSMUSG00000102269|Gm7357,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.1|Mrpl15,779,813,724,2080,2914,1958,2705,2105,2796,1375,926,1463,535,1136,963,1395,1235,1050
MSTRG.2|Gm37144,18,23,33,49,28,20,35,15,15,33,9,23,5,17,11,25,23,26
ENSMUSG00000051951|Xkr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102851|Gm18956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377|Gm37180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017|Gm37363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025|Gm37686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699|Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201|Gm37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147|Gm7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331|Gm19938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103161|Gm38148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103280|Gm37277,3,6,3,0,14,6,3,17,17,2,4,5,5,15,3,3,3,1
MSTRG.7,4,1,4,9,12,6,13,9,30,6,7,4,1,5,3,6,2,0
MSTRG.5|Lypla1,3242,3152,3168,3334,3910,3163,3442,3111,3768,2756,2317,2690,1530,2909,2507,3454,3141,3657
MSTRG.5|Gm37988,2,20,3,3,11,2,4,1,8,6,3,1,1,16,1,1,6,3
MSTRG.5|Tcea1,3158,3482,3278,4386,5288,4095,4745,4469,5317,4047,2937,3675,1800,3662,2999,3380,2865,3559
