"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"Gm49450",878.495819404739,-26.8267500956066,4.71167403343635,-5.69155461632145,1.25887874618015e-08,4.03736228488997e-07,"Gm49450",NA
"Gm12346",1288.30625799659,22.401466162286,3.69835693065835,6.05443622184407,1.40910287995149e-09,5.5693113826654e-08,"Gm12346","544800"
"Gm42878",16.0175138843779,-21.5364696926182,4.71401710804361,-4.56648102865117,NA,NA,"Gm42878",NA
"Gm3325.1",18.5038660514903,21.3839476192804,4.71249137312726,4.5355940047263,NA,NA,"Gm3325","100041420"
"Gm49909",5.9070411996973,-21.3312759500557,4.71447840684662,-4.52251004460893,NA,NA,"Gm49909",NA
"Igkv8.18",16.2838540537109,-17.9235346350444,4.74261735114347,-3.77714104021597,NA,NA,"Igkv8",NA
"Ighv7.4",10.7309129835486,-17.6909734242704,4.74803637573467,-3.72384961383845,NA,NA,"Ighv7",NA
"Galnt2l",28.2323122147445,16.7625604534285,4.72608707762694,3.54469991311296,0.000393060308272547,0.00297122090952836,"Galnt2l",NA
"Traj23",9.7545530021324,16.7202516731516,3.43232191590374,4.86849779320649,1.1244977830924e-06,2.02195225296078e-05,"Traj23","100124366"
"Tpsab1",452.466745328446,13.2397885299395,1.21915978771926,10.8515624147095,1.96045134090219e-27,1.04306064932616e-24,"Tpsab1","100503895"
"Gm25745",2304.40336433317,-10.6973079873234,2.56410859741302,-4.16804030769449,NA,NA,"Gm25745",NA
"Cobl",106.235072871004,10.6844117299809,1.22022168210574,8.74792825477416,2.1730534693016e-18,4.79689994553279e-16,"Cobl","12808"
"Igkv4.74",154.955397958604,-10.4637948573886,1.56371053803667,-6.68524934961041,NA,NA,"Igkv4",NA
"Mrgprb1",57.2376554269432,10.3455848091572,1.30731872837792,7.90594105691517,2.6591698859212e-15,3.80536380226654e-13,"Mrgprb1","233231"
"Igkv1.99",48.3032163570579,-9.81591934113872,2.75985411893197,-3.55305712496626,0.00038078176662668,0.00289634224981804,"Igkv1",NA
"Nphs2",46.2159963085239,9.81490268899986,2.03467959991908,4.8188927089011,1.44357153142092e-06,2.4940973586165e-05,"Nphs2","170484"
"Igkv3.1",55.1660108154032,-9.55632704282633,1.44221456473482,-6.61921414209377,3.61113418761535e-11,2.11669588680843e-09,"Igkv3",NA
"Gm21149",32.1326768370089,9.54619577825461,1.27420304758358,7.48404722178246,7.20680412187194e-14,7.66877874506886e-12,"Gm21149","100861702"
"Igkv1.88",157.896041699724,-9.49803800433959,2.05816155546933,-4.6099578427778,4.02750632841306e-06,6.09116299668885e-05,"Igkv1",NA
"Adgra1",26.4589948866926,9.29594991816603,1.34716439906274,6.89295970456654,5.46433572490864e-12,3.90741425196899e-10,"Adgra1","52389"
"Gm10354",23.9032593896016,9.11270026288431,2.58925179113134,3.51557167752581,0.000438808291589945,0.00323685462157532,"Gm10354","100503549"
"Gm21083",22.4603758882253,9.03597812832178,1.36860781385297,6.59500701147644,4.25235765484932e-11,2.47160844084379e-09,"Gm21083","105242399"
"Ddc",27.2718040762111,8.98667954468131,1.41197900430703,6.35751630675758,2.05041911033208e-10,1.01785159185145e-08,"Ddc","13195"
"Igkv13.85",72.4955172102053,-8.85825287761851,1.3812007277993,-6.40620345727493,1.49187852694469e-10,7.64357516891416e-09,"Igkv13",NA
"Cacna1h.1",25.171318152598,8.81628446354402,1.64883816242081,5.34090286375633,9.24848049850673e-08,2.30077491122683e-06,"Cacna1h","58226"
"Speer4e",18.9512595565361,8.805228577332,1.3691451227049,6.42388336450124,1.32841002920224e-10,6.8568428124245e-09,"Speer4e","624245"
"Mir5130",135.383621843605,8.7371865860145,2.23333305549018,3.90769597242137,NA,NA,"Mir5130","100628599"
"Gm17019",17.9904065567676,8.72489072441578,1.4779040244278,5.8967907119611,3.70639476240457e-09,1.34454005804012e-07,"Gm17019","66773"
"Tmem233",21.7014861652597,8.69749269103069,1.52997393756233,5.67819652200888,1.36122273950276e-08,4.299143355355e-07,"Tmem233","545798"
"Gm9758",17.3827557741584,8.63919151309614,2.72043355995227,3.17199127379076,0.00151397556115966,0.00898084416639877,"Gm9758","381714"
"Ctf2",8.61649938290061,-8.58184252177428,4.85660611196875,-1.76498614961786,NA,NA,"Ctf2","244218"
"Ngfr",16.9138599863686,8.54260914718417,1.68647582565441,5.05943163690073,4.20508002838709e-07,8.56873069799846e-06,"Ngfr","18053"
"Gm21190",15.1371580778537,8.47265496590816,4.58544251013537,1.84554815532042,0.0649578402411159,0.17995663351177,"Gm21190","100861755"
"Speer4d",15.015329638136,8.45536713970304,1.43932770477567,5.86757769733844,4.42207803923775e-09,1.55786280669242e-07,"Speer4d","360220"
"Mrgprb2",14.9616162895907,8.43775257402181,4.71270056086332,1.78830639994618,0.0737265878878185,0.197928651817234,"Mrgprb2","243979"
"Gnai1",25.0364207363235,8.42975096981265,1.27900490696883,6.5830482150119,4.60899594385717e-11,2.64921512008411e-09,"Gnai1","14677"
"Gm20634",26.4150171240977,-8.42028526857683,4.71285041864337,-1.7845432215092,0.0743354381401864,0.199129917558594,"Gm20634",NA
"Mrgprx2",13.5956361898329,8.3354811957748,1.56557438253275,5.31784454872469,1.05003718293404e-07,2.56031393018583e-06,"Mrgprx2","243978"
"Speer4c",13.67407516644,8.30541427057056,1.35198718945111,6.13571958025607,8.47745808852741e-10,3.56087561410817e-08,"Speer4c","100502967"
"Ighv4.1",149.201451349063,-8.26075975080154,2.01548318036859,-4.09368821886803,4.24565127057561e-05,0.00046124221918557,"Ighv4",NA
"Tdrd5",31.9404910191897,8.20907863592759,1.27063256324651,6.45275343406804,1.09835985087754e-10,5.72637359439926e-09,"Tdrd5","214575"
"Igkv4.70",78.3460412750487,-8.13488456376901,1.82847037638024,-4.4435418088936,8.84899510559371e-06,0.000120089371119077,"Igkv4",NA
"Fam78b",14.9446901196375,8.13063263337709,1.43204116304858,5.67066984030654,1.42240280065793e-08,4.45843778151843e-07,"Fam78b","226610"
"Gm43493",58.0425737897923,-8.03078928222737,1.59017856861328,-5.0439550881521,NA,NA,"Gm43493",NA
"Mcpt.ps1",122.296280122837,8.02279243760027,1.05017171759872,7.62998308116882,2.3478452260836e-14,2.79987289892153e-12,"Mcpt",NA
"X4930572O03Rik",10.9196947104335,8.0110625542378,1.54421873943726,5.18130129488879,2.2034323701171e-07,4.90571048067917e-06,"X4930572O03Rik",NA
"Kcnq1",13.5982550060876,7.95095563424147,1.3586829655715,5.84459791979601,5.07793275766806e-09,1.78286133200698e-07,"Kcnq1","16535"
"Igkv9.123",19.4210655044609,-7.89285600189969,3.18003794262236,-2.47885595836609,0.0131804521875552,0.0525895936165901,"Igkv9",NA
"Mir298",14.2508696086671,7.84698691399545,3.95919889900375,1.97943753620649,0.0477667658523325,0.143148525626213,"Mir298","723832"
