"","SEDM_2P_1","SEDM_2P_2","SEDM_2P_3","SEEM_2P_1","SEEM_2P_2","SEEM_2P_3","SEEM_4P_1","SEEM_4P_2","SEEM_4P_3","PERKi_1","PERKi_2","PERKi_3","T_1","T_2","T_3","P1_dP_redoA_1","P2_dP_redoA_1","P3_dP_redoA_1"
"a",1,1,1,1,7,2,1,3,4,8,1,6,1,1,1,1,4,4
"a.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A030001D20Rik",20,33,30,21,19,23,27,28,17,33,0,11,38,48,31,40,22,36
"A030003K21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A030005K14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A030005L19Rik",13,10,12,0,6,3,7,1,3,23,14,16,16,10,18,0,0,0
"A030012G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A030014E15Rik",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A130006I12Rik",0,3,4,1,1,0,2,0,0,2,2,0,6,0,2,0,0,0
"A130010J15Rik",143,136,177,413,380,300,397,337,425,297,277,275,302,212,248,272,179,250
"A130012E19Rik",6,9,4,2,2,3,9,6,18,3,0,2,5,0,5,0,0,0
"A130014A01Rik",91,92,89,31,21,24,12,24,12,41,51,77,51,58,51,0,0,0
"A130023I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A130030D18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A130048G24Rik",3,3,4,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0
"A130050O07Rik",0,0,8,0,6,1,3,6,10,0,0,3,2,4,0,0,0,0
"A130051J06Rik",23,10,12,60,46,46,27,28,32,22,41,41,62,28,44,0,0,0
"A130071D04Rik",62,99,96,28,22,23,35,15,56,56,76,122,69,83,75,0,0,0
"A130077B15Rik",10,0,9,0,11,11,26,19,13,14,11,21,13,5,13,50,33,35
"A1bg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1cf",0,0,0,0,0,2,3,4,4,0,0,0,3,0,0,0,0,0
"A230001M10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"A230004M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230005M16Rik",0,0,0,4,4,0,3,8,0,0,0,0,0,0,0,0,0,0
"A230006K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230009B12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230020J21Rik",2,6,0,8,12,3,12,13,2,10,0,0,0,5,8,4,4,0
"A230028O05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"A230051N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"A230052G05Rik",0,0,0,3,0,0,0,0,2,0,0,0,0,3,2,0,0,0
"A230056P14Rik",77,83,49,255,192,168,117,108,113,246,203,118,73,94,48,0,0,0
"A230057D06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230059L01Rik",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A230060F14Rik",23,16,11,18,24,19,18,21,14,16,9,9,15,15,25,0,0,0
"A230065N10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230072C01Rik",32,38,54,53,81,56,64,50,17,72,59,30,52,50,43,0,0,0
"A230072E10Rik",15,0,5,7,11,22,11,6,19,7,0,11,7,3,5,3,7,15
"A230072I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230077H06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230081H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230083G16Rik",29,21,20,12,18,7,7,0,6,11,9,16,17,31,17,48,13,30
"A230083N12Rik",8,2,13,0,0,0,0,0,0,8,0,10,0,8,7,0,0,0
"A230085B16Rik",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"A230087F16Rik",0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"A230098N10Rik",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"A230103J11Rik",29,19,19,33,20,38,35,45,46,13,15,28,25,18,51,28,14,27
"A230103L15Rik",0,8,2,3,0,0,0,7,0,0,0,2,2,0,3,0,0,0
"A230103O09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A230107N01Rik",6,0,0,3,0,6,0,3,0,0,0,0,7,7,6,0,2,2
"A230108P19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A26c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A26c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2m",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ml1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330008L17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330009N23Rik",13,4,14,31,6,14,13,19,24,19,0,4,6,0,8,24,19,51
"A330015K06Rik",3,0,0,0,3,0,0,7,0,0,0,4,0,0,0,0,3,0
"A330023F24Rik",25,26,19,7,8,0,7,7,3,35,21,29,14,35,36,87,42,100
"A330032B11Rik",0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A330033J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330035P11Rik",53,41,53,58,68,90,72,59,41,48,56,77,71,44,68,0,0,0
"A330040F15Rik",15,10,12,4,6,4,16,6,4,13,16,15,27,24,13,9,0,5
"A330040F15Rik.1",53,39,49,11,16,4,4,8,7,112,128,113,8,11,25,0,0,0
"A330040F15Rik.2",23,32,10,6,3,14,1,5,8,47,51,49,3,5,13,0,0,0
"A330041J22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330043C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330044P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330048O09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330049N07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330058E17Rik",0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0
"A330069K06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330070K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330072L02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330074H02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330074K22Rik",5,3,5,0,1,5,8,4,12,12,6,13,3,3,11,60,47,67
"A330076C08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"A330076H08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330084C13Rik",6,0,4,0,4,4,6,0,5,5,0,7,0,0,4,0,0,0
"A330087D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330093E20Rik",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"A330094K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A330102I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3galt2",11,10,0,5,8,12,6,6,8,6,20,10,9,9,9,18,7,11
"A430005L14Rik",589,628,557,1098,1124,1150,1186,1186,1168,791,811,735,746,699,655,589,378,637
"A430010J10Rik",0,4,0,0,0,2,3,0,0,0,2,0,3,3,2,0,0,0
"A430018G15Rik",17,24,8,15,21,16,7,10,16,11,15,4,0,8,6,0,0,0
"A430019L02Rik",0,5,4,0,5,8,3,13,8,0,0,7,0,2,11,0,0,0
"A430027C01Rik",11,0,7,6,7,2,1,0,0,3,0,4,5,0,5,0,0,0
"A430027H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A430028G04Rik",13,3,0,6,2,0,0,5,3,0,0,3,3,3,8,0,0,0
"A430033K04Rik",450,439,454,486,588,482,430,418,382,413,339,303,461,438,416,139,96,216
"A430034D21Rik",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"A430035B10Rik",4,10,10,7,15,18,10,4,7,35,41,40,17,2,8,26,33,41
"A430048G15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A430050A11Rik",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"A430057M04Rik",24,23,17,136,75,65,109,68,104,57,20,56,64,32,45,108,37,66
"A430060F13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A430072C10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A430072P03Rik",75,77,72,62,79,179,202,145,112,19,25,32,224,186,133,0,0,0
"A430073D23Rik",160,114,106,178,167,130,141,126,136,120,129,107,142,159,116,0,0,0
"A430078I02Rik",7,0,6,0,4,4,3,6,3,2,0,0,0,4,0,10,0,8
"A430088P11Rik",9,0,0,13,2,13,0,0,0,0,11,0,3,0,9,0,9,0
"A430089I19Rik",0,2,0,0,0,1,0,0,0,0,3,3,2,0,0,0,0,0
"A430090L17Rik",6,17,12,1,6,16,3,4,16,11,13,14,9,10,7,11,11,7
